Evaluation,Training data,Seed,Threshold,Abnormal TP/reference,Abnormal recall % (95% CI),Abnormal precision % (95% CI),Abnormal F1 (95% CI),Unmatched abnormal predictions per field (95% CI),Localization recall % (95% CI),Localization precision % (95% CI)
Dense SIPaKMeD,SIPaKMeD only,17,0.06,115/224,51.3 (36.8–62.0),64.6 (50.7–76.8),0.57 (0.44–0.65),3.15 (1.26–5.60),57.9 (47.0–67.9),63.9 (59.0–69.5)
Dense SIPaKMeD,SIPaKMeD only,43,0.14,93/224,41.5 (26.0–51.3),68.9 (56.1–77.9),0.52 (0.36–0.61),2.10 (0.85–3.68),47.8 (37.3–57.6),74.7 (70.1–79.0)
Dense SIPaKMeD,SIPaKMeD only,101,0.09,108/224,48.2 (29.6–58.4),63.9 (45.1–76.9),0.55 (0.38–0.64),3.05 (1.11–5.43),52.6 (42.6–61.4),76.1 (69.8–82.5)
Dense SIPaKMeD,SIPaKMeD + APCData,17,0.08,99/224,44.2 (24.8–58.9),67.8 (56.9–83.0),0.54 (0.35–0.67),2.35 (0.50–4.85),53.8 (40.6–65.5),67.5 (60.7–75.1)
Dense SIPaKMeD,SIPaKMeD + APCData,43,0.18,61/224,27.2 (14.3–41.7),87.1 (69.0–94.1),0.41 (0.24–0.57),0.45 (0.16–0.78),38.5 (27.9–49.4),85.2 (80.4–89.8)
Dense SIPaKMeD,SIPaKMeD + APCData,101,0.02,100/224,44.6 (30.9–54.3),52.4 (32.9–68.6),0.48 (0.34–0.56),4.55 (1.79–7.92),59.8 (47.8–71.7),53.2 (48.5–58.3)
HMCHH external,SIPaKMeD only,17,0.06,865/1837,47.1 (41.3–52.5),4.3 (3.4–5.4),0.08 (0.06–0.10),17.85 (14.48–21.87),55.7 (48.2–63.3),2.0 (1.6–2.4)
HMCHH external,SIPaKMeD only,43,0.14,656/1837,35.7 (28.4–42.7),3.9 (2.9–5.2),0.07 (0.05–0.09),15.09 (10.70–20.07),52.4 (43.6–60.5),2.1 (1.7–2.5)
HMCHH external,SIPaKMeD only,101,0.09,952/1837,51.8 (44.7–58.5),4.3 (3.4–5.2),0.08 (0.06–0.10),19.74 (16.32–23.53),57.8 (49.7–65.9),2.8 (2.3–3.3)
HMCHH external,SIPaKMeD + APCData,17,0.08,634/1837,34.5 (27.4–42.3),6.7 (5.4–8.6),0.11 (0.09–0.14),8.18 (5.87–10.59),59.4 (50.6–68.7),1.9 (1.5–2.3)
HMCHH external,SIPaKMeD + APCData,43,0.18,382/1837,20.8 (16.8–26.4),5.6 (4.0–8.4),0.09 (0.07–0.12),5.99 (3.72–8.49),50.5 (44.2–57.0),2.4 (1.9–3.0)
HMCHH external,SIPaKMeD + APCData,101,0.02,744/1837,40.5 (34.4–47.3),3.8 (2.8–5.3),0.07 (0.05–0.09),17.32 (12.42–23.01),68.8 (63.3–75.1),1.5 (1.2–1.9)
