Training data,Evaluation,Metric,Mean,SD,Min,Max
SIPaKMeD only,dense_evaluation,abnormal_recall,0.470,0.050,0.415,0.513
SIPaKMeD only,dense_evaluation,abnormal_precision,0.658,0.027,0.639,0.689
SIPaKMeD only,dense_evaluation,abnormal_f1,0.547,0.027,0.518,0.572
SIPaKMeD only,hmchh,abnormal_recall,0.449,0.083,0.357,0.518
SIPaKMeD only,hmchh,abnormal_precision,0.042,0.002,0.039,0.043
SIPaKMeD only,hmchh,abnormal_f1,0.076,0.005,0.070,0.079
SIPaKMeD + APCData,dense_evaluation,abnormal_recall,0.387,0.099,0.272,0.446
SIPaKMeD + APCData,dense_evaluation,abnormal_precision,0.691,0.174,0.524,0.871
SIPaKMeD + APCData,dense_evaluation,abnormal_f1,0.477,0.060,0.415,0.535
SIPaKMeD + APCData,hmchh,abnormal_recall,0.319,0.101,0.208,0.405
SIPaKMeD + APCData,hmchh,abnormal_precision,0.054,0.014,0.038,0.067
SIPaKMeD + APCData,hmchh,abnormal_f1,0.090,0.021,0.070,0.112
