Model,Dataset,Reference set,Δ abnormal recall pp (95% CI),Δ abnormal precision pp (95% CI)
v3_sipakmed_only_seed17,dense_evaluation,0,−9.4 (−18.7 to 0.6),−2.8 (−13.6 to 3.6)
v3_sipakmed_only_seed17,dense_evaluation,1,−11.2 (−18.9 to −1.7),−1.7 (−12.6 to 6.7)
v3_sipakmed_only_seed17,dense_evaluation,2,−12.1 (−21.1 to −2.0),−2.2 (−16.4 to 7.5)
v3_sipakmed_only_seed17,apc_sparse_test,0,−8.6 (−18.2 to 16.7),−12.5 (−28.1 to 12.0)
v3_sipakmed_only_seed17,apc_sparse_test,1,−8.0 (−17.2 to 16.7),−12.7 (−26.4 to 9.9)
v3_sipakmed_only_seed17,apc_sparse_test,2,−8.0 (−18.5 to 18.8),−11.1 (−25.7 to 13.8)
v3_combined_seed17,dense_evaluation,0,−15.2 (−22.2 to −0.9),−7.1 (−31.3 to 8.0)
v3_combined_seed17,dense_evaluation,1,−16.5 (−23.3 to −3.1),−7.6 (−33.1 to 8.0)
v3_combined_seed17,dense_evaluation,2,−19.2 (−26.6 to −5.4),−10.7 (−36.6 to 4.8)
v3_combined_seed17,apc_sparse_test,0,−36.2 (−49.3 to −20.4),4.1 (−0.1 to 7.9)
v3_combined_seed17,apc_sparse_test,1,−35.1 (−46.6 to −20.4),5.7 (0.6–10.8)
v3_combined_seed17,apc_sparse_test,2,−42.5 (−57.0 to −27.0),4.9 (−1.4 to 12.0)
v3_sipakmed_only_seed43,dense_evaluation,0,−8.5 (−18.3 to 6.0),−1.6 (−20.3 to 11.6)
v3_sipakmed_only_seed43,dense_evaluation,1,−10.7 (−21.0 to 2.2),−0.6 (−19.9 to 12.0)
v3_sipakmed_only_seed43,dense_evaluation,2,−12.9 (−22.8 to 0.0),−2.2 (−21.9 to 11.8)
v3_sipakmed_only_seed43,apc_sparse_test,0,−1.7 (−10.0 to 23.7),−16.0 (−24.6 to 3.2)
v3_sipakmed_only_seed43,apc_sparse_test,1,−1.1 (−10.0 to 26.0),−14.4 (−23.8 to 5.9)
v3_sipakmed_only_seed43,apc_sparse_test,2,−3.4 (−10.4 to 18.9),−16.0 (−24.5 to 3.0)
v3_combined_seed43,dense_evaluation,0,−6.7 (−9.6 to −0.7),−17.4 (−36.1 to −7.3)
v3_combined_seed43,dense_evaluation,1,−6.7 (−9.6 to −0.8),−14.1 (−32.2 to −4.1)
v3_combined_seed43,dense_evaluation,2,−9.4 (−11.5 to −5.1),−14.4 (−32.9 to −3.7)
v3_combined_seed43,apc_sparse_test,0,−40.2 (−57.3 to −28.9),0.8 (−4.1 to 6.9)
v3_combined_seed43,apc_sparse_test,1,−39.7 (−56.5 to −28.9),2.0 (−3.2 to 7.8)
v3_combined_seed43,apc_sparse_test,2,−43.1 (−62.0 to −34.0),1.9 (−3.4 to 8.3)
v3_sipakmed_only_seed101,dense_evaluation,0,−8.5 (−17.0 to 1.8),−6.9 (−18.1 to 2.6)
v3_sipakmed_only_seed101,dense_evaluation,1,−8.9 (−16.6 to 1.8),−1.9 (−13.6 to 10.3)
v3_sipakmed_only_seed101,dense_evaluation,2,−10.7 (−20.9 to 1.8),−3.9 (−16.9 to 7.1)
v3_sipakmed_only_seed101,apc_sparse_test,0,0.6 (−6.5 to 16.7),−19.3 (−35.5 to 0.3)
v3_sipakmed_only_seed101,apc_sparse_test,1,0.6 (−6.9 to 14.9),−19.1 (−33.7 to −1.2)
v3_sipakmed_only_seed101,apc_sparse_test,2,−1.7 (−6.0 to 8.8),−21.3 (−36.1 to −5.5)
v3_combined_seed101,dense_evaluation,0,−9.4 (−18.0 to 9.8),−7.7 (−13.5 to 0.8)
v3_combined_seed101,dense_evaluation,1,−9.8 (−18.7 to 9.2),−8.3 (−12.9 to 0.3)
v3_combined_seed101,dense_evaluation,2,−13.8 (−23.3 to 7.1),−9.0 (−13.6 to 2.4)
v3_combined_seed101,apc_sparse_test,0,−52.3 (−74.5 to −41.9),2.5 (−4.3 to 11.1)
v3_combined_seed101,apc_sparse_test,1,−50.0 (−71.9 to −39.6),3.3 (−3.2 to 11.5)
v3_combined_seed101,apc_sparse_test,2,−53.4 (−78.2 to −43.4),4.0 (−5.0 to 14.0)
