epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.218,1.39469,2.62557,1.28492,0.79796,0.07241,0.14421,0.10205,1.19958,3.15637,1.2682,0.000546406,0.000546406,0.000546406
2,26.609,1.31817,1.93368,1.21601,0.26843,0.39929,0.24473,0.15226,1.28838,2.24861,1.27338,0.0010948,0.0010948,0.0010948
3,37.8354,1.32933,1.82611,1.20746,0.39447,0.44206,0.36359,0.24051,1.20389,1.86382,1.22065,0.00163586,0.00163586,0.00163586
4,49.0969,1.3146,1.68707,1.19938,0.31667,0.29388,0.20177,0.13341,1.23712,2.14737,1.21527,0.00163399,0.00163399,0.00163399
5,60.5048,1.28959,1.60605,1.18107,0.4411,0.48589,0.45037,0.29103,1.20786,1.63325,1.1679,0.00162299,0.00162299,0.00162299
6,71.2311,1.25212,1.58022,1.175,0.69063,0.2495,0.26679,0.17754,1.16089,2.92715,1.18942,0.00161199,0.00161199,0.00161199
7,82.7728,1.24609,1.50508,1.16437,0.36415,0.48668,0.39731,0.25892,1.16269,1.98762,1.17459,0.00160099,0.00160099,0.00160099
8,93.8645,1.26254,1.47304,1.167,0.4976,0.54946,0.49811,0.33216,1.07638,1.42715,1.11619,0.00158998,0.00158998,0.00158998
9,104.871,1.18542,1.39422,1.13886,0.41995,0.51968,0.44349,0.30323,1.12198,1.53312,1.14858,0.00157898,0.00157898,0.00157898
10,115.899,1.18955,1.3441,1.1289,0.52094,0.52367,0.50425,0.33778,1.0845,1.57191,1.10739,0.00156798,0.00156798,0.00156798
11,127.147,1.19424,1.37324,1.1325,0.49,0.58288,0.53775,0.36498,1.05012,1.38392,1.08803,0.00155698,0.00155698,0.00155698
12,138.452,1.18938,1.37662,1.13114,0.46721,0.56836,0.51158,0.3473,1.05168,1.39724,1.09109,0.00154598,0.00154598,0.00154598
13,149.358,1.18543,1.32231,1.12543,0.458,0.52925,0.4758,0.32017,1.10556,1.58217,1.11442,0.00153497,0.00153497,0.00153497
14,160.572,1.16473,1.28241,1.12297,0.48327,0.58407,0.50355,0.34179,1.04657,1.42083,1.08434,0.00152397,0.00152397,0.00152397
