epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0043,1.38358,2.96275,1.26166,0.01099,0.78986,0.15523,0.10085,1.13053,3.21756,1.09447,0.000541775,0.000541775,0.000541775
2,16.9691,1.32487,2.13199,1.17949,0.64278,0.10328,0.09668,0.0584,1.23178,3.0086,1.10855,0.0010902,0.0010902,0.0010902
3,24.0003,1.27629,1.99634,1.15016,0.33436,0.34645,0.27841,0.18786,1.3145,2.06289,1.18579,0.00163129,0.00163129,0.00163129
4,31.2755,1.26954,1.88461,1.16781,0.27295,0.3411,0.23369,0.15392,1.33436,2.2631,1.24962,0.00163399,0.00163399,0.00163399
5,38.6586,1.25967,1.79405,1.14289,0.31045,0.41048,0.31841,0.21075,1.23061,2.31484,1.17308,0.00162299,0.00162299,0.00162299
6,46.099,1.22456,1.69217,1.1062,0.31871,0.48787,0.33581,0.23748,1.18133,1.89245,1.15876,0.00161199,0.00161199,0.00161199
7,53.3816,1.2258,1.67189,1.1226,0.3497,0.40104,0.32839,0.23248,1.14257,1.93179,1.14076,0.00160099,0.00160099,0.00160099
8,60.4094,1.21015,1.60135,1.11629,0.37728,0.43367,0.3195,0.21786,1.12958,2.09595,1.1213,0.00158998,0.00158998,0.00158998
9,67.4643,1.16464,1.58355,1.11742,0.44232,0.40568,0.38057,0.26339,1.1706,1.69733,1.14707,0.00157898,0.00157898,0.00157898
10,74.9565,1.18737,1.58443,1.11341,0.46569,0.4453,0.41488,0.30014,1.09467,1.61591,1.08411,0.00156798,0.00156798,0.00156798
11,82.1544,1.192,1.55023,1.10664,0.42489,0.52284,0.42951,0.28381,1.11529,1.65674,1.11702,0.00155698,0.00155698,0.00155698
12,89.4612,1.11657,1.43356,1.07916,0.33882,0.56989,0.43233,0.3053,1.09211,1.74542,1.08767,0.00154598,0.00154598,0.00154598
13,96.7942,1.1283,1.44292,1.09087,0.42727,0.54975,0.44794,0.31388,1.09761,1.5706,1.13058,0.00153497,0.00153497,0.00153497
